Order_ID,Order_Date,Order_Line_ID,Product_ID,Order_Quantity,Customer_ID,Store_ID
OR#101034,2/7/2021,1,PRD#_10202,3,C_1042,ST_678
OR#101034,2/7/2021,2,PRD#_10683,3,C_1042,ST_678
OR#101035,2/24/2021,1,PRD#_10180,1,C_1053,ST_345
OR#101035,2/24/2021,2,PRD#_10705,3,C_1053,ST_345
OR#101036,2/1/2021,1,PRD#_10287,5,C_1121,ST_456
OR#101036,2/1/2021,2,PRD#_10289,5,C_1121,ST_456
OR#101036,2/1/2021,3,PRD#_10528,1,C_1121,ST_456
OR#101036,2/1/2021,4,PRD#_10077,3,C_1121,ST_456
OR#101037,2/3/2021,1,PRD#_10097,2,C_1121,ST_890
OR#101037,2/3/2021,2,PRD#_10368,1,C_1121,ST_890
OR#101037,2/3/2021,3,PRD#_10092,2,C_1121,ST_890
OR#101038,2/4/2021,1,PRD#_10011,2,C_1126,ST_345
OR#101039,2/12/2021,1,PRD#_10057,1,C_1018,ST_345
OR#101039,2/12/2021,2,PRD#_10481,1,C_1018,ST_345
OR#101039,2/12/2021,3,PRD#_10629,5,C_1018,ST_345
OR#101039,2/12/2021,4,PRD#_10082,4,C_1018,ST_345
OR#101040,2/4/2021,1,PRD#_10336,5,C_1124,ST_234
OR#101041,2/7/2021,1,PRD#_10141,3,C_1050,ST_890
OR#101041,2/7/2021,2,PRD#_10679,4,C_1050,ST_890
OR#101042,2/26/2021,1,PRD#_10757,4,C_1009,ST_678
OR#101043,2/12/2021,1,PRD#_10160,3,C_1102,ST_345
OR#101043,2/12/2021,2,PRD#_10831,5,C_1102,ST_345
OR#101043,2/12/2021,3,PRD#_10095,2,C_1102,ST_345
OR#101044,2/9/2021,1,PRD#_10361,3,C_1104,ST_123
OR#101044,2/9/2021,2,PRD#_10644,3,C_1104,ST_123
OR#101045,2/3/2021,1,PRD#_10798,4,C_1070,ST_678
OR#101045,2/3/2021,2,PRD#_10793,2,C_1070,ST_678
OR#101045,2/3/2021,3,PRD#_10545,1,C_1070,ST_678
OR#101045,2/3/2021,4,PRD#_10834,3,C_1070,ST_678
OR#101045,2/3/2021,5,PRD#_10068,5,C_1070,ST_678
OR#101046,2/4/2021,1,PRD#_10259,3,C_1108,ST_234
OR#101046,2/4/2021,2,PRD#_10180,1,C_1108,ST_234
OR#101046,2/4/2021,3,PRD#_10522,3,C_1108,ST_234
OR#101046,2/4/2021,4,PRD#_10030,5,C_1108,ST_234
OR#101046,2/4/2021,5,PRD#_10268,3,C_1108,ST_234
OR#101047,2/21/2021,1,PRD#_10126,3,C_1014,ST_567
OR#101047,2/21/2021,2,PRD#_10613,4,C_1014,ST_567
OR#101048,2/11/2021,1,PRD#_10014,2,C_1105,ST_789
OR#101048,2/11/2021,2,PRD#_10021,1,C_1105,ST_789
OR#101049,2/2/2021,1,PRD#_10422,5,C_1129,ST_234
OR#101049,2/2/2021,2,PRD#_10374,2,C_1129,ST_234
OR#101050,2/24/2021,1,PRD#_10770,5,C_1107,ST_567
OR#101050,2/24/2021,2,PRD#_10150,3,C_1107,ST_567
OR#101050,2/24/2021,3,PRD#_10667,2,C_1107,ST_567
OR#101051,2/1/2021,1,PRD#_10578,5,C_1005,ST_456
OR#101052,2/27/2021,1,PRD#_10067,3,C_1141,ST_567
OR#101052,2/27/2021,2,PRD#_10779,1,C_1141,ST_567
OR#101052,2/27/2021,3,PRD#_10712,3,C_1141,ST_567
OR#101052,2/27/2021,4,PRD#_10814,2,C_1141,ST_567
OR#101052,2/27/2021,5,PRD#_10327,1,C_1141,ST_567
OR#101053,2/22/2021,1,PRD#_10238,2,C_1085,ST_112
OR#101053,2/22/2021,2,PRD#_10490,5,C_1085,ST_112
OR#101053,2/22/2021,3,PRD#_10202,3,C_1085,ST_112
OR#101053,2/22/2021,4,PRD#_10511,1,C_1085,ST_112
OR#101053,2/22/2021,5,PRD#_10151,3,C_1085,ST_112
OR#101054,2/16/2021,1,PRD#_10730,4,C_1029,ST_567
OR#101054,2/16/2021,2,PRD#_10614,4,C_1029,ST_567
OR#101054,2/16/2021,3,PRD#_10445,2,C_1029,ST_567
OR#101054,2/16/2021,4,PRD#_10573,5,C_1029,ST_567
OR#101055,2/5/2021,1,PRD#_10204,5,C_1090,ST_456
OR#101055,2/5/2021,2,PRD#_10698,1,C_1090,ST_456
OR#101056,2/26/2021,1,PRD#_10195,1,C_1060,ST_890
OR#101056,2/26/2021,2,PRD#_10339,3,C_1060,ST_890
OR#101057,2/19/2021,1,PRD#_10338,1,C_1008,ST_901
OR#101057,2/19/2021,2,PRD#_10544,1,C_1008,ST_901
OR#101057,2/19/2021,3,PRD#_10707,3,C_1008,ST_901
OR#101058,2/13/2021,1,PRD#_10371,5,C_1006,ST_890
OR#101058,2/13/2021,2,PRD#_10703,5,C_1006,ST_890
OR#101059,2/8/2021,1,PRD#_10081,2,C_1077,ST_456
OR#101060,2/13/2021,1,PRD#_10450,5,C_1017,ST_890
OR#101060,2/13/2021,2,PRD#_10417,3,C_1017,ST_890
OR#101060,2/13/2021,3,PRD#_10697,5,C_1017,ST_890
OR#101060,2/13/2021,4,PRD#_10155,5,C_1017,ST_890
OR#101060,2/13/2021,5,PRD#_10662,3,C_1017,ST_890
OR#101061,2/15/2021,1,PRD#_10676,3,C_1043,ST_678
OR#101061,2/15/2021,2,PRD#_10743,1,C_1043,ST_678
OR#101061,2/15/2021,3,PRD#_10552,1,C_1043,ST_678
OR#101061,2/15/2021,4,PRD#_10030,2,C_1043,ST_678
OR#101062,2/24/2021,1,PRD#_10250,4,C_1026,ST_901
OR#101062,2/24/2021,2,PRD#_10277,3,C_1026,ST_901
OR#101062,2/24/2021,3,PRD#_10838,5,C_1026,ST_901
OR#101063,2/17/2021,1,PRD#_10737,5,C_1119,ST_678
OR#101063,2/17/2021,2,PRD#_10382,4,C_1119,ST_678
OR#101064,2/5/2021,1,PRD#_10730,4,C_1095,ST_890
OR#101064,2/5/2021,2,PRD#_10737,4,C_1095,ST_890
OR#101064,2/5/2021,3,PRD#_10045,1,C_1095,ST_890
OR#101064,2/5/2021,4,PRD#_10156,2,C_1095,ST_890
OR#101064,2/5/2021,5,PRD#_10188,3,C_1095,ST_890
OR#101065,2/7/2021,1,PRD#_10062,3,C_1051,ST_123
OR#101065,2/7/2021,2,PRD#_10431,2,C_1051,ST_123
OR#101066,2/28/2021,1,PRD#_10126,3,C_1070,ST_112
OR#101066,2/28/2021,2,PRD#_10334,1,C_1070,ST_112
OR#101067,2/27/2021,1,PRD#_10337,1,C_1022,ST_123
OR#101067,2/27/2021,2,PRD#_10508,1,C_1022,ST_123
OR#101067,2/27/2021,3,PRD#_10631,5,C_1022,ST_123
OR#101067,2/27/2021,4,PRD#_10842,4,C_1022,ST_123
OR#101067,2/27/2021,5,PRD#_10027,4,C_1022,ST_123
OR#101068,2/21/2021,1,PRD#_10429,5,C_1001,ST_678
OR#101068,2/21/2021,2,PRD#_10265,5,C_1001,ST_678
OR#101068,2/21/2021,3,PRD#_10356,3,C_1001,ST_678
OR#101068,2/21/2021,4,PRD#_10256,5,C_1001,ST_678
OR#101069,2/2/2021,1,PRD#_10627,1,C_1138,ST_123
OR#101069,2/2/2021,2,PRD#_10012,1,C_1138,ST_123
OR#101070,2/17/2021,1,PRD#_10014,4,C_1039,ST_678
OR#101070,2/17/2021,2,PRD#_10558,4,C_1039,ST_678
OR#101070,2/17/2021,3,PRD#_10247,3,C_1039,ST_678
OR#101071,2/18/2021,1,PRD#_10065,2,C_1090,ST_123
OR#101071,2/18/2021,2,PRD#_10623,4,C_1090,ST_123
OR#101071,2/18/2021,3,PRD#_10300,5,C_1090,ST_123
OR#101072,2/14/2021,1,PRD#_10173,1,C_1026,ST_901
OR#101072,2/14/2021,2,PRD#_10307,5,C_1026,ST_901
OR#101072,2/14/2021,3,PRD#_10637,2,C_1026,ST_901
OR#101073,2/14/2021,1,PRD#_10584,3,C_1124,ST_890
OR#101074,2/1/2021,1,PRD#_10258,1,C_1085,ST_567
OR#101074,2/1/2021,2,PRD#_10223,5,C_1085,ST_567
OR#101074,2/1/2021,3,PRD#_10806,2,C_1085,ST_567
OR#101074,2/1/2021,4,PRD#_10504,5,C_1085,ST_567
OR#101074,2/1/2021,5,PRD#_10079,5,C_1085,ST_567
OR#101075,2/19/2021,1,PRD#_10280,2,C_1119,ST_112
OR#101075,2/19/2021,2,PRD#_10824,1,C_1119,ST_112
OR#101076,2/15/2021,1,PRD#_10619,5,C_1010,ST_123
OR#101076,2/15/2021,2,PRD#_10648,1,C_1010,ST_123
OR#101076,2/15/2021,3,PRD#_10644,4,C_1010,ST_123
OR#101077,2/2/2021,1,PRD#_10713,2,C_1110,ST_345
OR#101077,2/2/2021,2,PRD#_10359,1,C_1110,ST_345
OR#101078,2/9/2021,1,PRD#_10573,1,C_1040,ST_123
OR#101079,2/19/2021,1,PRD#_10105,4,C_1130,ST_567
OR#101079,2/19/2021,2,PRD#_10099,2,C_1130,ST_567
OR#101080,2/20/2021,1,PRD#_10511,5,C_1053,ST_345
OR#101080,2/20/2021,2,PRD#_10292,4,C_1053,ST_345
OR#101080,2/20/2021,3,PRD#_10583,5,C_1053,ST_345
OR#101080,2/20/2021,4,PRD#_10251,2,C_1053,ST_345
OR#101081,2/26/2021,1,PRD#_10641,4,C_1101,ST_901
OR#101082,2/17/2021,1,PRD#_10303,5,C_1114,ST_456
OR#101082,2/17/2021,2,PRD#_10494,4,C_1114,ST_456
OR#101082,2/17/2021,3,PRD#_10111,4,C_1114,ST_456
OR#101082,2/17/2021,4,PRD#_10732,2,C_1114,ST_456
OR#101082,2/17/2021,5,PRD#_10736,3,C_1114,ST_456
OR#101083,2/23/2021,1,PRD#_10645,1,C_1055,ST_456
OR#101083,2/23/2021,2,PRD#_10497,5,C_1055,ST_456
OR#101083,2/23/2021,3,PRD#_10270,2,C_1055,ST_456
OR#101083,2/23/2021,4,PRD#_10425,2,C_1055,ST_456
OR#101084,2/20/2021,1,PRD#_10556,4,C_1121,ST_112
OR#101084,2/20/2021,2,PRD#_10824,2,C_1121,ST_112
OR#101085,2/22/2021,1,PRD#_10620,2,C_1139,ST_890
OR#101086,2/12/2021,1,PRD#_10190,5,C_1082,ST_234
OR#101086,2/12/2021,2,PRD#_10399,5,C_1082,ST_234
OR#101086,2/12/2021,3,PRD#_10555,4,C_1082,ST_234
OR#101086,2/12/2021,4,PRD#_10580,1,C_1082,ST_234
OR#101086,2/12/2021,5,PRD#_10303,3,C_1082,ST_234
OR#101087,2/3/2021,1,PRD#_10336,1,C_1044,ST_123
OR#101087,2/3/2021,2,PRD#_10582,5,C_1044,ST_123
OR#101088,2/12/2021,1,PRD#_10587,4,C_1015,ST_901
OR#101088,2/12/2021,2,PRD#_10157,3,C_1015,ST_901
OR#101088,2/12/2021,3,PRD#_10116,5,C_1015,ST_901
OR#101089,2/26/2021,1,PRD#_10649,1,C_1121,ST_789
OR#101090,2/21/2021,1,PRD#_10766,4,C_1098,ST_567
OR#101090,2/21/2021,2,PRD#_10727,3,C_1098,ST_567
OR#101090,2/21/2021,3,PRD#_10190,1,C_1098,ST_567
OR#101090,2/21/2021,4,PRD#_10795,4,C_1098,ST_567
OR#101090,2/21/2021,5,PRD#_10120,1,C_1098,ST_567
OR#101091,2/8/2021,1,PRD#_10282,2,C_1098,ST_123
OR#101091,2/8/2021,2,PRD#_10831,3,C_1098,ST_123
OR#101092,2/15/2021,1,PRD#_10191,4,C_1119,ST_456
OR#101092,2/15/2021,2,PRD#_10699,5,C_1119,ST_456
OR#101093,2/6/2021,1,PRD#_10474,1,C_1100,ST_345
OR#101093,2/6/2021,2,PRD#_10768,2,C_1100,ST_345
OR#101093,2/6/2021,3,PRD#_10220,5,C_1100,ST_345
OR#101093,2/6/2021,4,PRD#_10503,4,C_1100,ST_345
OR#101094,2/24/2021,1,PRD#_10466,3,C_1101,ST_234
OR#101094,2/24/2021,2,PRD#_10102,4,C_1101,ST_234
OR#101094,2/24/2021,3,PRD#_10168,3,C_1101,ST_234
OR#101094,2/24/2021,4,PRD#_10194,3,C_1101,ST_234
OR#101094,2/24/2021,5,PRD#_10567,4,C_1101,ST_234
OR#101095,2/24/2021,1,PRD#_10202,3,C_1136,ST_112
OR#101096,2/28/2021,1,PRD#_10603,3,C_1097,ST_112
OR#101096,2/28/2021,2,PRD#_10171,3,C_1097,ST_112
OR#101096,2/28/2021,3,PRD#_10832,2,C_1097,ST_112
OR#101096,2/28/2021,4,PRD#_10228,5,C_1097,ST_112
OR#101096,2/28/2021,5,PRD#_10709,4,C_1097,ST_112
OR#101097,2/8/2021,1,PRD#_10153,1,C_1092,ST_678
OR#101097,2/8/2021,2,PRD#_10239,1,C_1092,ST_678
OR#101097,2/8/2021,3,PRD#_10733,5,C_1092,ST_678
OR#101097,2/8/2021,4,PRD#_10071,3,C_1092,ST_678
OR#101098,2/9/2021,1,PRD#_10007,3,C_1122,ST_456
OR#101098,2/9/2021,2,PRD#_10391,1,C_1122,ST_456
OR#101098,2/9/2021,3,PRD#_10497,2,C_1122,ST_456
OR#101099,2/1/2021,1,PRD#_10226,4,C_1019,ST_789
OR#101099,2/1/2021,2,PRD#_10318,2,C_1019,ST_789
OR#101099,2/1/2021,3,PRD#_10675,4,C_1019,ST_789
OR#101099,2/1/2021,4,PRD#_10735,5,C_1019,ST_789
OR#101100,2/2/2021,1,PRD#_10020,3,C_1087,ST_345
OR#101100,2/2/2021,2,PRD#_10089,5,C_1087,ST_345
OR#101100,2/2/2021,3,PRD#_10152,2,C_1087,ST_345
OR#101100,2/2/2021,4,PRD#_10098,1,C_1087,ST_345
OR#101101,2/11/2021,1,PRD#_10124,3,C_1092,ST_901
OR#101101,2/11/2021,2,PRD#_10758,5,C_1092,ST_901
OR#101101,2/11/2021,3,PRD#_10502,5,C_1092,ST_901
OR#101102,2/11/2021,1,PRD#_10648,3,C_1077,ST_456
OR#101102,2/11/2021,2,PRD#_10172,5,C_1077,ST_456
OR#101103,2/19/2021,1,PRD#_10680,2,C_1101,ST_112
OR#101103,2/19/2021,2,PRD#_10562,1,C_1101,ST_112
OR#101103,2/19/2021,3,PRD#_10168,2,C_1101,ST_112
OR#101103,2/19/2021,4,PRD#_10176,5,C_1101,ST_112
OR#101103,2/19/2021,5,PRD#_10618,3,C_1101,ST_112
OR#101104,2/8/2021,1,PRD#_10163,5,C_1043,ST_567
OR#101105,2/9/2021,1,PRD#_10377,2,C_1097,ST_345
OR#101105,2/9/2021,2,PRD#_10518,4,C_1097,ST_345
OR#101105,2/9/2021,3,PRD#_10216,1,C_1097,ST_345
OR#101106,2/23/2021,1,PRD#_10131,3,C_1012,ST_345
OR#101106,2/23/2021,2,PRD#_10296,5,C_1012,ST_345
OR#101106,2/23/2021,3,PRD#_10490,5,C_1012,ST_345
OR#101106,2/23/2021,4,PRD#_10784,2,C_1012,ST_345
OR#101107,2/1/2021,1,PRD#_10613,1,C_1053,ST_345
OR#101107,2/1/2021,2,PRD#_10630,2,C_1053,ST_345
OR#101107,2/1/2021,3,PRD#_10536,1,C_1053,ST_345
OR#101108,2/6/2021,1,PRD#_10114,1,C_1037,ST_890
OR#101109,2/7/2021,1,PRD#_10398,3,C_1134,ST_678
OR#101109,2/7/2021,2,PRD#_10078,2,C_1134,ST_678
OR#101110,2/1/2021,1,PRD#_10322,3,C_1112,ST_678
OR#101111,2/2/2021,1,PRD#_10240,5,C_1043,ST_901
OR#101112,2/20/2021,1,PRD#_10731,5,C_1080,ST_890
OR#101112,2/20/2021,2,PRD#_10294,4,C_1080,ST_890
OR#101112,2/20/2021,3,PRD#_10630,5,C_1080,ST_890
OR#101113,2/15/2021,1,PRD#_10605,4,C_1047,ST_123
OR#101113,2/15/2021,2,PRD#_10151,1,C_1047,ST_123
OR#101113,2/15/2021,3,PRD#_10730,2,C_1047,ST_123
OR#101114,2/11/2021,1,PRD#_10223,5,C_1130,ST_789
OR#101114,2/11/2021,2,PRD#_10232,5,C_1130,ST_789
OR#101114,2/11/2021,3,PRD#_10278,2,C_1130,ST_789
OR#101114,2/11/2021,4,PRD#_10087,2,C_1130,ST_789
OR#101115,2/3/2021,1,PRD#_10755,4,C_1012,ST_345
OR#101115,2/3/2021,2,PRD#_10840,3,C_1012,ST_345
OR#101116,2/17/2021,1,PRD#_10800,3,C_1108,ST_123
OR#101116,2/17/2021,2,PRD#_10291,4,C_1108,ST_123
OR#101117,2/25/2021,1,PRD#_10715,1,C_1011,ST_678
OR#101117,2/25/2021,2,PRD#_10227,4,C_1011,ST_678
OR#101117,2/25/2021,3,PRD#_10353,1,C_1011,ST_678
OR#101117,2/25/2021,4,PRD#_10623,5,C_1011,ST_678
OR#101118,2/3/2021,1,PRD#_10338,2,C_1123,ST_345
OR#101118,2/3/2021,2,PRD#_10498,3,C_1123,ST_345
OR#101118,2/3/2021,3,PRD#_10376,1,C_1123,ST_345
OR#101118,2/3/2021,4,PRD#_10798,5,C_1123,ST_345
OR#101118,2/3/2021,5,PRD#_10559,3,C_1123,ST_345
OR#101119,2/1/2021,1,PRD#_10463,1,C_1069,ST_345
OR#101119,2/1/2021,2,PRD#_10458,2,C_1069,ST_345
OR#101120,2/7/2021,1,PRD#_10263,1,C_1057,ST_789
OR#101120,2/7/2021,2,PRD#_10068,2,C_1057,ST_789
OR#101120,2/7/2021,3,PRD#_10746,1,C_1057,ST_789
OR#101121,2/10/2021,1,PRD#_10231,4,C_1125,ST_567
OR#101121,2/10/2021,2,PRD#_10037,5,C_1125,ST_567
OR#101121,2/10/2021,3,PRD#_10797,4,C_1125,ST_567
OR#101121,2/10/2021,4,PRD#_10715,3,C_1125,ST_567
OR#101121,2/10/2021,5,PRD#_10542,4,C_1125,ST_567
OR#101122,2/20/2021,1,PRD#_10495,2,C_1099,ST_890
OR#101122,2/20/2021,2,PRD#_10227,1,C_1099,ST_890
OR#101122,2/20/2021,3,PRD#_10471,4,C_1099,ST_890
OR#101122,2/20/2021,4,PRD#_10001,4,C_1099,ST_890
OR#101123,2/6/2021,1,PRD#_10314,1,C_1032,ST_901
OR#101123,2/6/2021,2,PRD#_10405,4,C_1032,ST_901
OR#101123,2/6/2021,3,PRD#_10476,4,C_1032,ST_901
OR#101123,2/6/2021,4,PRD#_10386,4,C_1032,ST_901
OR#101124,2/9/2021,1,PRD#_10662,3,C_1059,ST_678
OR#101124,2/9/2021,2,PRD#_10804,1,C_1059,ST_678
OR#101124,2/9/2021,3,PRD#_10470,5,C_1059,ST_678
OR#101124,2/9/2021,4,PRD#_10365,4,C_1059,ST_678
OR#101125,2/28/2021,1,PRD#_10603,3,C_1122,ST_678
OR#101126,2/12/2021,1,PRD#_10191,1,C_1111,ST_890
OR#101126,2/12/2021,2,PRD#_10830,5,C_1111,ST_890
OR#101127,2/17/2021,1,PRD#_10635,1,C_1114,ST_456
OR#101127,2/17/2021,2,PRD#_10167,5,C_1114,ST_456
OR#101127,2/17/2021,3,PRD#_10272,1,C_1114,ST_456
OR#101127,2/17/2021,4,PRD#_10534,1,C_1114,ST_456
OR#101127,2/17/2021,5,PRD#_10737,3,C_1114,ST_456
OR#101128,2/13/2021,1,PRD#_10838,2,C_1095,ST_901
OR#101129,2/20/2021,1,PRD#_10807,3,C_1008,ST_789
OR#101129,2/20/2021,2,PRD#_10420,2,C_1008,ST_789
OR#101130,2/7/2021,1,PRD#_10032,3,C_1135,ST_890
OR#101131,2/6/2021,1,PRD#_10412,2,C_1067,ST_890
OR#101131,2/6/2021,2,PRD#_10752,1,C_1067,ST_890
OR#101132,2/17/2021,1,PRD#_10833,5,C_1108,ST_123
OR#101132,2/17/2021,2,PRD#_10218,1,C_1108,ST_123
OR#101132,2/17/2021,3,PRD#_10519,1,C_1108,ST_123
OR#101132,2/17/2021,4,PRD#_10847,1,C_1108,ST_123
OR#101132,2/17/2021,5,PRD#_10023,5,C_1108,ST_123
OR#101133,2/18/2021,1,PRD#_10432,3,C_1050,ST_345
OR#101134,2/23/2021,1,PRD#_10706,2,C_1013,ST_123
OR#101134,2/23/2021,2,PRD#_10473,5,C_1013,ST_123
OR#101134,2/23/2021,3,PRD#_10483,3,C_1013,ST_123
OR#101134,2/23/2021,4,PRD#_10160,5,C_1013,ST_123
OR#101134,2/23/2021,5,PRD#_10624,4,C_1013,ST_123
OR#101135,2/1/2021,1,PRD#_10284,4,C_1126,ST_456
OR#101135,2/1/2021,2,PRD#_10623,4,C_1126,ST_456
OR#101136,2/12/2021,1,PRD#_10471,3,C_1130,ST_112
OR#101137,2/6/2021,1,PRD#_10680,4,C_1110,ST_789
OR#101137,2/6/2021,2,PRD#_10411,2,C_1110,ST_789
OR#101137,2/6/2021,3,PRD#_10299,1,C_1110,ST_789
OR#101137,2/6/2021,4,PRD#_10423,1,C_1110,ST_789
OR#101138,2/27/2021,1,PRD#_10158,5,C_1028,ST_234
OR#101138,2/27/2021,2,PRD#_10024,2,C_1028,ST_234
OR#101138,2/27/2021,3,PRD#_10388,1,C_1028,ST_234
OR#101138,2/27/2021,4,PRD#_10458,3,C_1028,ST_234
OR#101138,2/27/2021,5,PRD#_10695,4,C_1028,ST_234
OR#101139,2/16/2021,1,PRD#_10321,3,C_1045,ST_678
OR#101139,2/16/2021,2,PRD#_10433,5,C_1045,ST_678
